country,kwci,L2_norm,youtube_views,trends_interest,country_name
US,64.17,70.96774193548387,22939908,18.0,미국
VN,52.32,83.87096774193549,31484856,7.4,베트남
AR,51.98,100.0,20588028,8.1,아르헨티나
TH,46.27,74.19354838709677,5815482,8.1,태국
FR,44.11,83.87096774193549,10374015,7.8,프랑스
JP,42.74,51.61290322580645,8855735,6.4,일본
CN,36.7,12.903225806451612,0,22.9,중국
AE,33.36,51.61290322580645,79230172,11.8,UAE
MY,29.25,19.35483870967742,102538788,18.5,말레이시아
BR,23.61,35.483870967741936,5835983,7.4,브라질
TR,23.09,35.483870967741936,30963556,4.5,터키
ID,17.79,6.451612903225806,5969199,8.9,인도네시아
GB,11.94,3.225806451612903,21287686,10.8,영국
IN,5.82,0.0,40947463,7.9,인도
ZA,4.66,3.225806451612903,49865147,7.5,남아공
