country,genre,export_usd,customs_error,source
US,kfood,155278562.0,,customs_api
CN,kfood,104256212.0,,customs_api
JP,kfood,60594148.0,,customs_api
VN,kfood,17063498.0,,customs_api
TH,kfood,27807950.0,,customs_api
ID,kfood,11607210.0,,customs_api
IN,kfood,4633720.0,,customs_api
MY,kfood,13261728.0,,customs_api
FR,kfood,2973362.0,,customs_api
GB,kfood,19038286.0,,customs_api
BR,kfood,899976.0,,customs_api
AR,kfood,255848.0,,customs_api
AE,kfood,3869548.0,,customs_api
TR,kfood,548092.0,,customs_api
ZA,kfood,1502462.0,,customs_api
US,kfashion,6497018.0,,customs_api
CN,kfashion,49297594.0,,customs_api
JP,kfashion,12053338.0,,customs_api
VN,kfashion,1102412.0,,customs_api
TH,kfashion,1334720.0,,customs_api
ID,kfashion,326070.0,,customs_api
IN,kfashion,2214.0,,customs_api
MY,kfashion,490460.0,,customs_api
FR,kfashion,588640.0,,customs_api
GB,kfashion,468728.0,,customs_api
BR,kfashion,10278.0,,customs_api
AR,kfashion,1502.0,,customs_api
AE,kfashion,13764.0,,customs_api
TR,kfashion,206.0,,customs_api
ZA,kfashion,1302.0,,customs_api
US,kbeauty,527465062.0,,customs_api
CN,kbeauty,337590018.0,,customs_api
JP,kbeauty,150902814.0,,customs_api
VN,kbeauty,73523144.0,,customs_api
TH,kbeauty,39971066.0,,customs_api
ID,kbeauty,29934860.0,,customs_api
IN,kbeauty,18207962.0,,customs_api
MY,kbeauty,27077472.0,,customs_api
FR,kbeauty,18598600.0,,customs_api
GB,kbeauty,80165106.0,,customs_api
BR,kbeauty,20518684.0,,customs_api
AR,kbeauty,6759462.0,,customs_api
AE,kbeauty,42061740.0,,customs_api
TR,kbeauty,28286134.0,,customs_api
ZA,kbeauty,2681516.0,,customs_api
