country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,16360978,21,,youtube_api
US,kvideo,5296190,1,,youtube_api
US,kgame,0,0,search_http_429,youtube_api
US,kwebtoon,0,0,search_http_429,youtube_api
US,kfood,0,0,search_http_429,youtube_api
US,kbeauty,0,0,search_http_429,youtube_api
US,kfashion,0,0,search_http_429,youtube_api
US,ktourism,0,0,search_http_429,youtube_api
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,3828156,16,,youtube_api
JP,kvideo,5296190,1,,youtube_api
JP,kgame,0,0,search_http_429,youtube_api
JP,kwebtoon,0,0,search_http_429,youtube_api
JP,kfood,0,0,search_http_429,youtube_api
JP,kbeauty,0,0,search_http_429,youtube_api
JP,kfashion,0,0,search_http_429,youtube_api
JP,ktourism,0,0,search_http_429,youtube_api
VN,kpop,28557458,22,,youtube_api
VN,kvideo,0,0,search_http_429,youtube_api
VN,kgame,2506186,2,,youtube_api
VN,kwebtoon,0,0,search_http_429,youtube_api
VN,kfood,0,0,search_http_429,youtube_api
VN,kbeauty,0,0,search_http_429,youtube_api
VN,kfashion,0,0,search_http_429,youtube_api
VN,ktourism,0,0,search_http_429,youtube_api
TH,kpop,5419965,11,,youtube_api
TH,kvideo,0,0,search_http_429,youtube_api
TH,kgame,323282,1,,youtube_api
TH,kwebtoon,0,0,search_http_429,youtube_api
TH,kfood,0,0,search_http_429,youtube_api
TH,kbeauty,0,0,search_http_429,youtube_api
TH,kfashion,0,0,search_http_429,youtube_api
TH,ktourism,0,0,search_http_429,youtube_api
ID,kpop,6310511,11,,youtube_api
ID,kvideo,0,0,search_http_429,youtube_api
ID,kgame,0,0,search_http_429,youtube_api
ID,kwebtoon,0,0,search_http_429,youtube_api
ID,kfood,361848,1,,youtube_api
ID,kbeauty,0,0,search_http_429,youtube_api
ID,kfashion,0,0,search_http_429,youtube_api
ID,ktourism,0,0,search_http_429,youtube_api
IN,kpop,39019487,22,,youtube_api
IN,kvideo,0,0,search_http_429,youtube_api
IN,kgame,0,0,search_http_429,youtube_api
IN,kwebtoon,0,0,search_http_429,youtube_api
IN,kfood,0,0,search_http_429,youtube_api
IN,kbeauty,0,0,search_http_429,youtube_api
IN,kfashion,0,0,search_http_429,youtube_api
IN,ktourism,0,0,search_http_429,youtube_api
MY,kpop,94506334,19,,youtube_api
MY,kvideo,5296190,1,,youtube_api
MY,kgame,0,0,search_http_429,youtube_api
MY,kwebtoon,0,0,search_http_429,youtube_api
MY,kfood,0,0,search_http_429,youtube_api
MY,kbeauty,129677,1,,youtube_api
MY,kfashion,0,0,search_http_429,youtube_api
MY,ktourism,0,0,search_http_429,youtube_api
FR,kpop,5165222,20,,youtube_api
FR,kvideo,5296190,1,,youtube_api
FR,kgame,0,0,search_http_429,youtube_api
FR,kwebtoon,0,0,search_http_429,youtube_api
FR,kfood,0,0,search_http_429,youtube_api
FR,kbeauty,0,0,search_http_429,youtube_api
FR,kfashion,0,0,search_http_429,youtube_api
FR,ktourism,0,0,search_http_429,youtube_api
GB,kpop,14736123,24,,youtube_api
GB,kvideo,5433452,2,,youtube_api
GB,kgame,0,0,search_http_429,youtube_api
GB,kwebtoon,0,0,search_http_429,youtube_api
GB,kfood,0,0,search_http_429,youtube_api
GB,kbeauty,0,0,search_http_429,youtube_api
GB,kfashion,0,0,search_http_429,youtube_api
